Linux 5.15.0-119-generic (node1) 	05/16/2025 	_x86_64_	(64 CPU)

07:57:54 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:57:55 PM     0   2217624 103893.00      0.00 36334212 9134724   3.46  python
07:57:56 PM     0   2217624  74899.00      0.00 31736428 1346416   0.51  python
07:57:57 PM     0   2217624 128260.00      0.00 36864304 1300656   0.49  python
07:57:58 PM     0   2217624   4633.00      0.00 36885096 1320780   0.50  python
07:57:59 PM     0   2217624    103.00      0.00 36885096 1320824   0.50  python
07:58:00 PM     0   2217624    517.00      0.00 36885096 1320832   0.50  python
