Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

05:16:34 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:16:35 PM     0   1945184     51.00      0.00 3333048  115788   0.04  python
05:16:36 PM     0   1945184     34.00      0.00 3333048  115760   0.04  python
05:16:37 PM     0   1945184     23.00      0.00 3333048  115744   0.04  python
05:16:38 PM     0   1945184     24.00      0.00 3324852  115720   0.04  python
05:16:39 PM     0   1945184     34.00      0.00 3333048  115704   0.04  python
05:16:40 PM     0   1945184     32.00      0.00 3333048  115936   0.04  python
05:16:41 PM     0   1945184     28.00      0.00 3324852  115908   0.04  python
05:16:42 PM     0   1945184     28.00      0.00 3333048  115880   0.04  python
05:16:43 PM     0   1945184     31.00      0.00 3324852  115860   0.04  python
05:16:44 PM     0   1945184     26.00      0.00 3333048  115836   0.04  python
05:16:45 PM     0   1945184     24.00      0.00 3324852  115808   0.04  python
05:16:46 PM     0   1945184     33.00      0.00 3333048  115784   0.04  python
05:16:47 PM     0   1945184     30.00      0.00 3324852  115752   0.04  python
05:16:48 PM     0   1945184     31.00      0.00 3333048  115728   0.04  python
