Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

05:16:01 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:16:02 PM     0   1941526    5.00    0.00    0.00    0.00    5.00    38  python
05:16:03 PM     0   1941526    5.00    2.00    0.00    0.00    7.00    38  python
05:16:04 PM     0   1941526    4.00    1.00    0.00    0.00    5.00    38  python
05:16:05 PM     0   1941526    4.00    2.00    0.00    0.00    6.00    38  python
05:16:06 PM     0   1941526    2.00    2.00    0.00    0.00    4.00    38  python
05:16:07 PM     0   1941526    1.00    2.00    0.00    0.00    3.00    38  python
05:16:08 PM     0   1941526    2.00    4.00    0.00    0.00    6.00    38  python
05:16:09 PM     0   1941526    2.00    4.00    0.00    0.00    6.00    38  python
05:16:10 PM     0   1941526    4.00    3.00    0.00    0.00    7.00    38  python
05:16:11 PM     0   1941526    3.00    2.00    0.00    0.00    5.00    38  python
05:16:12 PM     0   1941526    3.00    0.00    0.00    0.00    3.00    38  python
05:16:13 PM     0   1941526    4.00    1.00    0.00    0.00    5.00    38  python
05:16:14 PM     0   1941526    3.00    2.00    0.00    0.00    5.00    38  python
05:16:15 PM     0   1941526    4.00    2.00    0.00    0.00    6.00    38  python
