Linux 5.15.0-119-generic (node1) 	05/16/2025 	_x86_64_	(64 CPU)

07:58:18 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:58:19 PM     0   2218508  75199.00      0.00 31877476 4996364   1.89  python
07:58:20 PM     0   2218508  86187.00      0.00 37808880 1014756   0.38  python
07:58:21 PM     0   2218508 161628.00      0.00 29259100 1215296   0.46  python
07:58:22 PM     0   2218508  24263.00      0.00 36885092 1319604   0.50  python
07:58:23 PM     0   2218508     88.00      0.00 36885092 1319632   0.50  python
07:58:24 PM     0   2218508    288.00      0.00 36885092 1319656   0.50  python
07:58:25 PM     0   2218508  48985.00      0.00 36885316 1318760   0.50  python
