Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

02:36:23 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:36:24 PM     0   1467789   67.33   27.72    0.00    0.00   95.05    63  python
02:36:25 PM     0   1467789   80.00   20.00    0.00    0.00  100.00    63  python
02:36:26 PM     0   1467789   75.00   25.00    0.00    0.00  100.00    63  python
02:36:27 PM     0   1467789   73.00   30.00    0.00    0.00  103.00    63  python
02:36:28 PM     0   1467789   56.00   49.00    0.00    0.00  105.00    63  python
02:36:29 PM     0   1467789   55.00   50.00    0.00    0.00  105.00    63  python
02:36:30 PM     0   1467789   51.00   54.00    0.00    0.00  105.00    63  python
02:36:31 PM     0   1467789   69.00   34.00    0.00    0.00  103.00    63  python
02:36:32 PM     0   1467789  103.00    4.00    0.00    0.00  107.00    63  python
02:36:33 PM     0   1467789  104.00    2.00    0.00    0.00  106.00    63  python
02:36:34 PM     0   1467789  103.00    1.00    0.00    0.00  104.00    63  python
02:36:35 PM     0   1467789  104.00    2.00    0.00    0.00  106.00    63  python
02:36:36 PM     0   1467789  102.00    4.00    0.00    0.00  106.00    63  python
02:36:37 PM     0   1467789  104.00    2.00    0.00    0.00  106.00    63  python
02:36:38 PM     0   1467789  102.00    3.00    0.00    0.00  105.00    63  python
02:36:39 PM     0   1467789   11.00    2.00    0.00    0.00   13.00    63  python
02:36:40 PM     0   1467789    3.00    2.00    0.00    0.00    5.00    63  python
02:36:41 PM     0   1467789    3.00    3.00    0.00    0.00    6.00    63  python
02:36:42 PM     0   1467789    4.00    1.00    0.00    0.00    5.00    63  python
02:36:43 PM     0   1467789    4.00    2.00    0.00    0.00    6.00    63  python
02:36:44 PM     0   1467789    2.00    3.00    0.00    0.00    5.00    63  python
02:36:45 PM     0   1467789    4.00    1.00    0.00    0.00    5.00    63  python
02:36:46 PM     0   1467789    4.00    2.00    0.00    0.00    6.00    63  python
02:36:47 PM     0   1467789    2.00    3.00    0.00    0.00    5.00    63  python
02:36:48 PM     0   1467789    4.00    2.00    0.00    0.00    6.00    63  python
02:36:49 PM     0   1467789    4.00    1.00    0.00    0.00    5.00    63  python
02:36:50 PM     0   1467789    4.00    1.00    0.00    0.00    5.00    63  python
02:36:51 PM     0   1467789    4.00    2.00    0.00    0.00    6.00    63  python
02:36:52 PM     0   1467789    3.00    2.00    0.00    0.00    5.00    63  python
02:36:53 PM     0   1467789    5.00    2.00    0.00    0.00    7.00    63  python
02:36:54 PM     0   1467789   70.00   10.00    0.00    0.00   80.00    63  python
02:36:55 PM     0   1467789   97.00    8.00    0.00    0.00  105.00    63  python
02:36:56 PM     0   1467789   97.00    9.00    0.00    0.00  106.00    63  python
02:36:57 PM     0   1467789   95.00   10.00    0.00    0.00  105.00    63  python
02:36:58 PM     0   1467789   96.00    8.00    0.00    0.00  104.00    63  python
02:36:59 PM     0   1467789   99.00    6.00    0.00    0.00  105.00    63  python
02:37:00 PM     0   1467789   98.00    7.00    0.00    0.00  105.00    63  python
02:37:01 PM     0   1467789   96.00    9.00    0.00    0.00  105.00    63  python
02:37:02 PM     0   1467789   98.00    6.00    0.00    0.00  104.00    63  python
02:37:03 PM     0   1467789   99.00    6.00    0.00    0.00  105.00    63  python
02:37:04 PM     0   1467789   96.00   10.00    0.00    0.00  106.00    63  python
02:37:05 PM     0   1467789   98.00    6.00    0.00    0.00  104.00    63  python
02:37:06 PM     0   1467789   96.00    9.00    0.00    0.00  105.00    63  python
02:37:07 PM     0   1467789   97.00    8.00    0.00    0.00  105.00    63  python
02:37:08 PM     0   1467789   97.00    8.00    0.00    0.00  105.00    63  python
02:37:09 PM     0   1467789   97.00    7.00    0.00    0.00  104.00    63  python
02:37:10 PM     0   1467789   96.00    9.00    0.00    0.00  105.00    63  python
02:37:11 PM     0   1467789   87.00    9.00    0.00    0.00   96.00    63  python
