timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:52:07.9,100.00 %,455.64 W,13.10 %,40.01 W,NVIDIA RTX A6000,2,8.56 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:07.9,100.00 %,455.64 W,13.10 %,40.01 W,NVIDIA RTX A6000,3,8.33 W,0 %,2 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:12.9,100.00 %,495.71 W,13.10 %,36.06 W,NVIDIA RTX A6000,0,54.15 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:12.9,100.00 %,495.71 W,13.10 %,36.06 W,NVIDIA RTX A6000,1,47.66 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:12.9,100.00 %,495.71 W,13.10 %,36.06 W,NVIDIA RTX A6000,2,8.90 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:12.9,100.00 %,495.71 W,13.10 %,36.06 W,NVIDIA RTX A6000,3,11.80 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:17.9,100.00 %,445.64 W,13.10 %,34.03 W,NVIDIA RTX A6000,0,54.35 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:17.9,100.00 %,445.64 W,13.10 %,34.03 W,NVIDIA RTX A6000,1,33.95 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:17.9,100.00 %,445.64 W,13.10 %,34.03 W,NVIDIA RTX A6000,2,9.58 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:17.9,100.00 %,445.64 W,13.10 %,34.03 W,NVIDIA RTX A6000,3,8.47 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
