timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:29:53.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,0,31.35 W,0 %,0 %,2,4,40 °C,N/A,1380 MHz,810 MHz,1380 MHz
2025-03-29 17:29:53.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,1,33.76 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:29:53.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,2,7.45 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:29:53.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,3,7.58 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:29:58.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,0,31.44 W,0 %,0 %,2,4,40 °C,N/A,1380 MHz,810 MHz,1380 MHz
2025-03-29 17:29:58.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,1,33.89 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:29:58.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,2,8.38 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:29:58.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,3,8.65 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:30:03.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,0,31.34 W,0 %,0 %,2,4,40 °C,N/A,1380 MHz,810 MHz,1380 MHz
2025-03-29 17:30:03.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,1,33.67 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:30:03.0,100.00 %,N/A,13.00 %,N/A,NVIDIA RTX A6000,2,7.35 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
