Linux 5.15.0-119-generic (node1) 	05/16/2025 	_x86_64_	(64 CPU)

08:32:05 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:32:06 PM     0   2262415   67.00   30.00    0.00    0.00   97.00    63  python
08:32:07 PM     0   2262415   79.00   22.00    0.00    0.00  101.00    63  python
08:32:08 PM     0   2262415   57.00   42.00    0.00    0.00   99.00    63  python
08:32:09 PM     0   2262415   69.00   32.00    0.00    0.00  101.00    63  python
08:32:10 PM     0   2262415   99.00    0.00    0.00    0.00   99.00    63  python
08:32:11 PM     0   2262415  100.00    0.00    0.00    0.00  100.00    63  python
08:32:12 PM     0   2262415  100.00    0.00    0.00    0.00  100.00    63  python
