Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

05:16:17 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:16:18 PM     0   1943240     76.00      0.00 3333056  115948   0.04  python
05:16:19 PM     0   1943240     35.00      0.00 3333056  115924   0.04  python
05:16:20 PM     0   1943240     33.00      0.00 3333056  115908   0.04  python
05:16:21 PM     0   1943240     26.00      0.00 3333056  115888   0.04  python
05:16:22 PM     0   1943240     35.00      0.00 3333056  116112   0.04  python
05:16:23 PM     0   1943240     42.00      0.00 3333056  116076   0.04  python
05:16:24 PM     0   1943240     34.00      0.00 3333056  116044   0.04  python
05:16:25 PM     0   1943240     37.00      0.00 3333056  116016   0.04  python
05:16:26 PM     0   1943240     35.00      0.00 3333056  115980   0.04  python
05:16:27 PM     0   1943240     28.00      0.00 3324860  115952   0.04  python
05:16:28 PM     0   1943240     32.00      0.00 3333056  115932   0.04  python
05:16:29 PM     0   1943240     32.00      0.00 3333056  116168   0.04  python
05:16:30 PM     0   1943240     31.00      0.00 3333056  116140   0.04  python
05:16:31 PM     0   1943240     24.00      0.00 3324860  116116   0.04  python
05:16:32 PM     0   1943240     35.00      0.00 3333056  116084   0.04  python
