Linux 5.15.0-119-generic (node1) 	05/16/2025 	_x86_64_	(64 CPU)

08:31:04 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:31:05 PM     0   2260120  63124.00      0.00 31052408 4035484   1.53  python
08:31:06 PM     0   2260120 101321.00      0.00 37966984 9184136   3.48  python
08:31:07 PM     0   2260120 112258.00      0.00 29188920 1013496   0.38  python
08:31:08 PM     0   2260120  76551.00      0.00 37043216 1327652   0.50  python
08:31:09 PM     0   2260120    381.00      0.00 37043216 1327712   0.50  python
08:31:10 PM     0   2260120    784.00      0.00 37043216 1327724   0.50  python
08:31:11 PM     0   2260120  39956.00      0.00 37043432 1328096   0.50  python
