id,time
1,9.844432
2,9.762869
3,9.774021
4,9.854343
5,9.898524
6,9.825715
7,9.869989
8,9.868326
9,9.831417
10,9.786796

11,9.967914
12,10.173221
13,10.100927
14,9.974903
15,9.992648
16,10.089986
17,10.023919
18,9.993186
19,10.062812
20,9.952766
