Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

05:15:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:15:46 PM     0   1939590    3.00    3.00    0.00    0.00    6.00    58  python
05:15:47 PM     0   1939590    3.00    3.00    0.00    0.00    6.00    58  python
05:15:48 PM     0   1939590    3.00    3.00    0.00    0.00    6.00    58  python
05:15:49 PM     0   1939590    4.00    2.00    0.00    0.00    6.00    58  python
05:15:50 PM     0   1939590    4.00    2.00    0.00    0.00    6.00    58  python
05:15:51 PM     0   1939590    4.00    3.00    0.00    0.00    7.00    58  python
05:15:52 PM     0   1939590    4.00    2.00    0.00    0.00    6.00    58  python
05:15:53 PM     0   1939590    3.00    3.00    0.00    0.00    6.00    58  python
05:15:54 PM     0   1939590    3.00    3.00    0.00    0.00    6.00    58  python
05:15:55 PM     0   1939590    3.00    3.00    0.00    0.00    6.00    58  python
05:15:56 PM     0   1939590    1.98    3.96    0.00    0.00    5.94    58  python
05:15:57 PM     0   1939590    4.00    3.00    0.00    0.00    7.00    58  python
05:15:58 PM     0   1939590    4.00    3.00    0.00    0.00    7.00    58  python
05:15:59 PM     0   1939590    4.00    2.00    0.00    0.00    6.00    58  python
