Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

01:30:38 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:30:39 PM     0   1336725  90868.00      0.00 33353492 6363908   2.41  python
01:30:40 PM     0   1336725  81633.00      0.00 29247228 1838120   0.70  python
01:30:41 PM     0   1336725 167525.00      0.00 31571128 1316080   0.50  python
01:30:42 PM     0   1336725   3218.00      0.00 31589016 1330624   0.50  python
01:30:43 PM     0   1336725    305.00      0.00 31589016 1330632   0.50  python
01:30:44 PM     0   1336725     74.00      0.00 31589016 1330632   0.50  python
01:30:45 PM     0   1336725   1321.00      0.00 31589016 1330632   0.50  python
01:30:46 PM     0   1336725    137.00      0.00 31589016 1330632   0.50  python
01:30:47 PM     0   1336725    676.00      0.00 31589016 1330644   0.50  python
01:30:48 PM     0   1336725    896.00      0.00 31589016 1330660   0.50  python
01:30:49 PM     0   1336725     20.00      0.00 31589016 1330660   0.50  python
01:30:50 PM     0   1336725    771.00      0.00 31589016 1330660   0.50  python
01:30:51 PM     0   1336725  72944.00      0.00       0       0   0.00  python
